(alfonso1) c:\Fracture.v1i_Reduced_YoloFromScratch>python SSD_PRUEBA2.py
C:\Users\Alfonso Blanco\.conda\envs\alfonso1\lib\site-packages\numpy\_distributor_init.py:30: UserWarning: loaded more than 1 DLL from .libs:
C:\Users\Alfonso Blanco\.conda\envs\alfonso1\lib\site-packages\numpy\.libs\libopenblas.FB5AE2TYXYH2IJRDKGDGQ3XBKLKTF43H.gfortran-win_amd64.dll
C:\Users\Alfonso Blanco\.conda\envs\alfonso1\lib\site-packages\numpy\.libs\libopenblas64__v0.3.21-gcc_10_3_0.dll
  warnings.warn("loaded more than 1 DLL from .libs:"
Reading labels from  trainFractureOJumbo1\labels\
Reading labels from  trainFractureOJumbo1\labels\
Epoch 135, Loss: 0.0042113776167703645
Epoch 136, Loss: 0.004152371987033434
Epoch 137, Loss: 0.004348840012303176
Epoch 138, Loss: 0.004114125660192725
Epoch 139, Loss: 0.00392970914568601
Epoch 140, Loss: 0.0042208248121676515
Epoch 141, Loss: 0.004265122985580584
Epoch 142, Loss: 0.004354506348750579
Epoch 143, Loss: 0.004216345005064599
Epoch 144, Loss: 0.004089706300480946
Epoch 145, Loss: 0.004141643723611393
Epoch 146, Loss: 0.004165918751135217
Epoch 147, Loss: 0.004236670964510759
Epoch 148, Loss: 0.004227764335007885
Epoch 149, Loss: 0.004242357374735277
Epoch 150, Loss: 0.004106771795557359
Epoch 151, Loss: 0.004085313944882285
Epoch 152, Loss: 0.0040800836034798746
Epoch 153, Loss: 0.004185528259227253
Epoch 154, Loss: 0.003942636922442329
Epoch 155, Loss: 0.004078960933445676
Epoch 156, Loss: 0.004031878323420076
Epoch 157, Loss: 0.0041772502449315945
Epoch 158, Loss: 0.004092687239077546
Epoch 159, Loss: 0.004002598515472602
Epoch 160, Loss: 0.004062417984273084
Epoch 161, Loss: 0.0039983346045168264
Epoch 162, Loss: 0.004064578394644667
Epoch 163, Loss: 0.0038795183566902335
Epoch 164, Loss: 0.003931626268486316
Epoch 165, Loss: 0.004087714242396524
Epoch 166, Loss: 0.004257742735569844
Epoch 167, Loss: 0.003912854945991893
Epoch 168, Loss: 0.0041158152681246805
Epoch 169, Loss: 0.004144781316328491
Epoch 170, Loss: 0.004052505150399599
Epoch 171, Loss: 0.0038920095618310813
Epoch 172, Loss: 0.003881606981284111
Epoch 173, Loss: 0.0039209473478557496
Epoch 174, Loss: 0.004073164944939718
Epoch 175, Loss: 0.004196922027354909
Epoch 176, Loss: 0.004002957750344649
Epoch 177, Loss: 0.003989474471922763
Epoch 178, Loss: 0.0042219926710114685
